(kitchen food#sushi),"While their kitchen food is delicious, their Sushi is out of this world."
,"The atmosphere is attractive, but a little uncomfortable."
(nice dinner),"I went to Swiftys with some friends of the family and we had a very nice dinner, but nothing amazing."
(hot#cakes),Offerings like hot cakes and the Egg McMuffin sandwich are available for breakfast.
,This place has the best pizza.
(free appetizers#filet mignon#nice non-sushi selection),"but, the filet mignon was not very good at all cocktail hour includes free appetizers (nice non-sushi selection)."
(chicken milanese),I recomend the chicken milanese.
,Cool atmosphere but such a let down.
,Didn't seem like any effort was made to the display and quality of the food.
,You'll see a lot of people eating there after church.
,"Believe me, they live up to the name."
,"menu - uneventful, small."
(dirt-cheap prices#area residents crowd),"A mix of students and area residents crowd into this narrow, barely there space for its quick, tasty treats at dirt-cheap prices."
,It is bland and nothing extrodinary.
(good mix),A plus was the good mix of people in their twenties that provided for great eye-candy while I was there.
(management),The Management was less than accomodating.
,A nice find in the neighborhood.
(credit#dent#card#big),But make sure you have enough room on your credit card as the bill will leave a big dent in your wallet.
,"The service is great, my soup always arrives nice and hot."
(bit#noisy),"While it was large and a bit noisy, the drinks were fantastic, and the food was superb."
(pizzas#main courses),Pizzas were excellent in addition to appetizers and main courses.
(peanut butter tart),"The best dessert, a chocolate and peanut butter tart, isn't particularly Hawaiian, but it's a small world when it comes to sweets."
('ve eaten),"I find that most Kosher restaurants are average to good, but this has been the best I've eaten so far."
(cute#'s),It's cute and simple and I loved it.
(eggplant salad),"Creamy appetizers--taramasalata, eggplant salad, and Greek yogurt (with cuccumber, dill, and garlic) taste excellent when on warm pitas."
(thing#great),Another great thing about Glechik-everything is very cheap!
(pizza),Curioni's Pizza has been around since the 1920's.
,Having moved I truly miss this place.
(ghetto scenery),If your looking for nasty high priced food with a dash of ghetto scenery cheap BX A$$ this is the place to be!!
(or bad service#bad meal),I HAVE NEVER HAD A BAD MEAL(OR BAD SERVICE )@ PIGALLE.
,My friends and I stop here for pizza before hitting the Kips Bay movie theater.
,The staff greeted me warmly at the door and I was seated promptly and the food was excellent.
,The restaurant was quiet and intimate.
(cool atmosphere#delicious food#great drinks#excellent service),"This bar has it all - great drinks, cool atmosphere, excellent service and delicious food."
(delicious shrimp creole),i had a delicious shrimp creole.
(great beer selection),"Great beer selection too, something like 50 beers."
(good job guys),"To the owners; good job guys, this place is a keeper!"
,The staff was extremely friendly and pleasant.
(great meal),"If you're in the neighborhood, definitely stop by for a great meal."
,"Don't ever bother - the drinks were awful, but it was the people who work there that really made this the worst experience at dining."
,"Here's the thing, you're in the best city in the world for restaurants."
,You will not be missing anything.
,The quality of the meat was on par with your local grocery store.
(friendly owners),"I highly recommend it for not just its superb cuisine, but also for its friendly owners and staff."
,Stay with the roasted chickens and you'll be fine.
,"Great restaurant, and even greater food!"
(great atmosphere#great#great waitstaff#great food),"Great food, great waitstaff, great atmosphere, and best of all GREAT beer!"
,"However, it was worth the visit."
(pretty good prices#attentive service),"Huge portions, great and attentive service, and pretty good prices."
